Type,Name,Content
Secondary Treatment Technologies,Activated Sludge Process (ASP),"The activated sludge process is an aerobic-suspended growth-based biological process in which the activated sludge is used for the treatment of raw wastewater. The process mainly consists of three components, that are, an aeration tank, in which the raw wastewater is introduced and mixed with air in a continuous flow, plug flow, or tapered flow form of aeration, a secondary clarifier, in which, the activated solids are settled and separated from the treated wastewater, and RAS equipment to return the activated sludge back to the aeration tank and re-seed the incoming raw wastewater to obtain the desired concentration of MLSS (mixed liquor suspended solids), which is a mix of raw sewage and activated biological floc. When the desired concentration of MLSS is exceeded in the aeration tank, excess sludge is wasted from the system. The food to microorganisms (F/M) ratio is maintained in the system to prevent filamentous growth of microorganisms causing sludge bulking."
Secondary Treatment Technologies,Sequencing Batch Reactor (SBR),"SBR technology is a modified version of ASP. SBR operates in batch mode and all the physical and biological processes take place in the same basin in a time-sequenced manner. This process takes place in four phases: filling, in which raw wastewater is filled in the basin in batch mode; reaction, in which, the air is supplied and mixed with the wastewater in the basin; settling, the solid and liquid phases are left to separate via settling, and; decanting, in which, the treated wastewater is drawn from the basin. A minimum of two basins are required for the operation of SBR, such that while one basin is in reaction phase, the other basin is in the settling phase and decanting. The process has higher efficiency due to better sludge settling characteristics. "
Secondary Treatment Technologies,Anaerobic-Anoxic-Oxic (A2O) Process,"A2O process is also a modified version of ASP which is primarily focused on enhancing nutrient (Nitrogen and Phosphorous) removal. The raw wastewater is firstly fed into the anaerobic tank, in which due to the absence of oxygen, the microorganisms begin to release phosphorous in the form of dissolved ortho-phosphates. The second tank is an anoxic tank, in which no oxygen is supplied and microorganisms start utilizing oxygen from nitrates present in the wastewater for energy. This nitrate is obtained when the ammoniacal-nitrogen present in the wastewater gets oxidized to nitrate form in the oxic tank and the nitrified liquid is recirculated back into the anoxic tank. Also, in the oxic tank, the dissolved ortho-phosphates are taken up by the active PAOs (Phosphate Accumulating Organisms) and converted to poly-phosphates which do not dissolve in water, these undissolved biomass is later drawn out through the secondary clarifier. Therefore, this process requires a sludge thickener. "
Secondary Treatment Technologies,Cyclic Activated Sludge Technology (C. Tech),"C. Tech is a modified version of SBR technology that operates in extended aeration mode. This technology was developed to make the operation of the technology simpler, control the nature of activated sludge in the reactor and promote phosphorous and nitrogen removal. The addition of a biological selector, automatization of technology using PLC system, monitoring of oxygen uptake rate, fine air bubble diffusers, and stainless-steel decanter are some features of C. Tech. The biological selector at the front end of the tank acts as an anoxic/anaerobic zone and facilitates the release of the phosphorous, it also eliminates the issue of sludge bulking due to low F/M and hence denser biological flocs are formed. When activated sludge is recycled to the selector zone, a low oxygen condition is encountered, this leads to the uptake of phosphates by PAOs. The removal of organic matter takes place in the aeration phase and the oxygen uptake is monitored using a PLC system. Upon decrease in oxygen concentration below defined levels, oxygen is supplied so as to prevent the proliferation of filamentous micro-organisms. The excess sludge is wasted from the system using pumps."
Secondary Treatment Technologies,Biological Filtration and Oxygenated Reactor (BIOFOR),"BIOFOR process is an aerobic attached growth treatment method. It is employed for achieving a high degree removal of organic matter, suspended solids, and nitrogen concentration. The process comprises an enhanced primary densadeg clarifier that facilitates optimal flocculation, tube settling, sludge thickening, and primary sludge recirculation. The effluent from the densadeg clarifier is introduced at the bottom of the reactor, which moves upwards through the biolite media characterized by high surface area. The filter media expands with the upward flow and the fixed film biomass decomposes the organic matter present in the wastewater. The air diffusers, at the bottom of the reactor, supply oxygen to keep optimal conditions for biomass growth, also facilitating higher contact and retention. It does not require a secondary clarifier and offers a better economy of space and high performance. "
Secondary Treatment Technologies,High Rate Activated Sludge BIOFOR-F Technology,"BIOFOR-F is a highly sophisticated and mechanized treatment process. Although it is similar to BIOFOR in the sense that it employs biological filtration combined with aeration, it does not require primary clarifier but an aerated grit chamber, tapered air diffusion in the aeration tank, followed by secondary clarifier, and utilizes a dual media filter for biological filtration with co-current aeration. The process also includes an elaborate sludge management process, where, the temperature of the sludge digester is maintained for maintaining proper anaerobic conditions, the contents of the digester are mixed using biogas, and dissolved air floatation is utilized for concentration of sludge. Using gas engines, electrical and thermal energy are co-generated in the system dynamically. "
Secondary Treatment Technologies,Soil Biotechnology (SBT),"SBT is also referred to as Constructed Sand Filter (CSF) technology. It can be constructed of RCC, stone masonry or soil bunds and utilizes gravel, pebbles, sand, or rocks as filter media. This technology utilizes natural physical, chemical, and biological processes such as filtration, sedimentation, respiration, photosynthesis, bacteriological degradation for the removal of organic matter and nitrogen present in wastewater. The process also utilizes a combination of cultured micro and macro-organisms for the treatment. The technology consists of different layers of filtration media and the influent wastewater is made to flow from top to bottom layers.  While flowing through the media, the cultured biomass degrades the organic matter, the mineral composition of the filter media maintains pH in the system, the earthworms cultured for the system maintain the oxygen level, and no sludge but vermicompost is produced at the end of the process. The plants planted in the top layer of the SBT act as bio-indicators, whose photosynthesis assures proper functioning of the system beneath. "
Secondary Treatment Technologies,Constructed Wetlands (CW),"Constructed wetlands technology refers to a submerged artificial system that mimics wetlands of natural origin. Firstly, the water slowly enters the system leading to the settlement of large particles, the roots of plant species take up nutrients from the system, the filter media removes the large particles and the substrate attached to the media degrades the organic matter. The constructed wetlands produce high-quality effluents and they can be used both as secondary technology or tertiary technology. Based on the direction of flow, the constructed wetlands can be divided into the horizontal flow constructed wetlands (HFCW) and vertical flow constructed wetlands (VFCW). Wetlands are natural processes similar to stabilization ponds. "
Secondary Treatment Technologies,Waste Stabilization Pond (WSP),"Waste stabilization ponds are artificial earthen structures constructed for the biological treatment of raw wastewater. This method has a higher detention period and produces good quality effluent which can be used for irrigation, aquaculture, or safe for discharge into the river system. It employs three types of ponds, each utilizing a different kind of microorganisms for removing organic matter. Firstly, the raw wastewater is led into the anaerobic pond that has a higher depth and lower surface area, anaerobic decomposition takes place in this pond and the sludge produced is sent to drying beds. The effluent from the anaerobic pond is fed into the facultative pond which has a higher surface area and comparatively lesser depth than the anaerobic pond, promoting sunlight, to penetrate into the pond, and facultative microorganisms to decompose the organic matter. Thereafter, the wastewater enters the maturation pond that has complete aerobic conditions and aerobic microorganisms actively decompose the organic matter, producing very little sludge and high-quality effluent is obtained at the end. "
Secondary Treatment Technologies,Duckweed Pond System (DPS),"The duckweed pond system is an artificial earthen structure-based technology that utilizes thick layer of duckweed plants for the removal of organic matter and nutrients. To reduce the effect of wind and waves on the functioning of the pond, it is divided into cells with the help of bamboo or other materials. The ponds are shallower and the top layers act as facultative pond while the lower layer functions as an anaerobic pond. It has a larger detention time and proper management of the plants is required for optimum functioning of the system. The harvested duckweed plants are used as fish feed due to large protein content."
