Tech Stack,BOD(mg/l),COD(mg/l),TSS(mg/l),TN(mg/l),FC(MPN/l),Land,Power,Capital Cost,O&M Cost
ASP+None+None,0.2163,0.1591,0.1224,0.9,0.0998,0.2,202.5,5.37,0.4
ASP+None+Coagulation&Flocculation&RSF,0.075705,0.074777,0.05858064,0.9,0.01996,0.3,342.5,8.95,1.3
ASP+None+uf&ro,0.05885523,0.06209673,0.01836,0.63,9.98E-06,0.25,382.5,23.28,1.47
ASP+None+mf&ro,0.09569112,0.09280303,0.02940048,0.675,9.98E-06,0.28,352.5,21.49,1.47
ASP+MLE+None,0.2163,0.1591,0.1224,0.2205,0.00998,0.24,322.5,11.37,1
ASP+MLE+Coagulation&Flocculation&RSF,0.075705,0.074777,0.05858064,0.2205,0.001996,0.34,462.5,14.95,1.9
ASP+MLE+uf&ro,0.05885523,0.06209673,0.01836,0.15435,9.98E-07,0.29,502.5,29.28,2.07
ASP+MLE+mf&ro,0.09569112,0.09280303,0.02940048,0.165375,9.98E-07,0.32,472.5,27.49,2.07
ASP+STEP BNR+None,0.2163,0.1591,0.1224,0.16875,0.00998,0.24,337.5,13.37,0.6
ASP+STEP BNR+Coagulation&Flocculation&RSF,0.075705,0.074777,0.05858064,0.16875,0.001996,0.34,477.5,16.95,1.5
ASP+STEP BNR+uf&ro,0.05885523,0.06209673,0.01836,0.118125,9.98E-07,0.29,517.5,31.28,1.67
ASP+STEP BNR+mf&ro,0.09569112,0.09280303,0.02940048,0.1265625,9.98E-07,0.32,487.5,29.49,1.67
ASP+BARDENPH+None,0.2163,0.1591,0.1224,0.3375,0.00998,0.299,352.5,13.37,0.6
ASP+BARDENPH+Coagulation&Flocculation&RSF,0.075705,0.074777,0.05858064,0.3375,0.001996,0.399,492.5,16.95,1.5
ASP+BARDENPH+uf&ro,0.05885523,0.06209673,0.01836,0.23625,9.98E-07,0.349,532.5,31.28,1.67
ASP+BARDENPH+mf&ro,0.09569112,0.09280303,0.02940048,0.253125,9.98E-07,0.379,502.5,29.49,1.67
ASP+WUHERMAN+None,0.0058401,0.1591,0.0007344,0.0999,0.00998,0.24,322.5,12.37,1
ASP+WUHERMAN+Coagulation&Flocculation&RSF,0.002044035,0.074777,0.000351484,0.0999,0.001996,0.34,462.5,15.95,1.9
ASP+WUHERMAN+uf&ro,0.001589091,0.06209673,0.00011016,0.06993,9.98E-07,0.29,502.5,30.28,2.07
ASP+WUHERMAN+mf&ro,0.00258366,0.09280303,0.000176403,0.074925,9.98E-07,0.32,472.5,28.49,2.07
MBBR+None+None,0.3314,0.4343,0.2857,0.9,0.0088,0.06,134.5,7.16,0.34
MBBR+None+Coagulation&Flocculation&RSF,0.11599,0.204121,0.13673602,0.9,0.00176,0.16,274.5,10.74,1.24
MBBR+None+uf&ro,0.09017394,0.16950729,0.042855,0.63,8.80E-07,0.11,314.5,25.07,1.41
MBBR+None+mf&ro,0.14661136,0.25332719,0.06862514,0.675,8.80E-07,0.14,284.5,23.28,1.41
MBBR+MLE+None,0.3314,0.4343,0.2857,0.2205,0.00088,0.1,254.5,13.16,0.94
MBBR+MLE+Coagulation&Flocculation&RSF,0.11599,0.204121,0.13673602,0.2205,0.000176,0.2,394.5,16.74,1.84
MBBR+MLE+uf&ro,0.09017394,0.16950729,0.042855,0.15435,8.80E-08,0.15,434.5,31.07,2.01
MBBR+MLE+mf&ro,0.14661136,0.25332719,0.06862514,0.165375,8.80E-08,0.18,404.5,29.28,2.01
MBBR+STEP BNR+None,0.3314,0.4343,0.2857,0.16875,0.00088,0.1,269.5,15.16,0.54
MBBR+STEP BNR+Coagulation&Flocculation&RSF,0.11599,0.204121,0.13673602,0.16875,0.000176,0.2,409.5,18.74,1.44
MBBR+STEP BNR+uf&ro,0.09017394,0.16950729,0.042855,0.118125,8.80E-08,0.15,449.5,33.07,1.61
MBBR+STEP BNR+mf&ro,0.14661136,0.25332719,0.06862514,0.1265625,8.80E-08,0.18,419.5,31.28,1.61
MBBR+BARDENPH+None,0.3314,0.4343,0.2857,0.3375,0.00088,0.159,284.5,15.16,0.54
MBBR+BARDENPH+Coagulation&Flocculation&RSF,0.11599,0.204121,0.13673602,0.3375,0.000176,0.259,424.5,18.74,1.44
MBBR+BARDENPH+uf&ro,0.09017394,0.16950729,0.042855,0.23625,8.80E-08,0.209,464.5,33.07,1.61
MBBR+BARDENPH+mf&ro,0.14661136,0.25332719,0.06862514,0.253125,8.80E-08,0.239,434.5,31.28,1.61
MBBR+WUHERMAN+None,0.0089478,0.4343,0.0017142,0.0999,0.00088,0.1,254.5,14.16,0.94
MBBR+WUHERMAN+Coagulation&Flocculation&RSF,0.00313173,0.204121,0.000820416,0.0999,0.000176,0.2,394.5,17.74,1.84
MBBR+WUHERMAN+uf&ro,0.002434696,0.16950729,0.00025713,0.06993,8.80E-08,0.15,434.5,32.07,2.01
MBBR+WUHERMAN+mf&ro,0.003958507,0.25332719,0.000411751,0.074925,8.80E-08,0.18,404.5,30.28,2.01
SBR+None+None,0.045,0.1,0.0433,0.25,0.0001,0.055,150,13.43,0.32
SBR+None+Coagulation&Flocculation&RSF,0.01575,0.047,0.02072338,0.25,2.00E-05,0.155,290,17.01,1.22
SBR+None+uf&ro,0.0122445,0.03903,0.006495,0.175,1.00E-08,0.105,330,31.34,1.39
SBR+None+mf&ro,0.019908,0.05833,0.01040066,0.1875,1.00E-08,0.135,300,29.55,1.39
SBR+MLE+None,0.045,0.1,0.0433,0.06125,1.00E-05,0.095,270,19.43,0.92
SBR+MLE+Coagulation&Flocculation&RSF,0.01575,0.047,0.02072338,0.06125,2.00E-06,0.195,410,23.01,1.82
SBR+MLE+uf&ro,0.0122445,0.03903,0.006495,0.042875,1.00E-09,0.145,450,37.34,1.99
SBR+MLE+mf&ro,0.019908,0.05833,0.01040066,0.0459375,1.00E-09,0.175,420,35.55,1.99
SBR+STEP BNR+None,0.045,0.1,0.0433,0.046875,1.00E-05,0.095,285,21.43,0.52
SBR+STEP BNR+Coagulation&Flocculation&RSF,0.01575,0.047,0.02072338,0.046875,2.00E-06,0.195,425,25.01,1.42
SBR+STEP BNR+uf&ro,0.0122445,0.03903,0.006495,0.0328125,1.00E-09,0.145,465,39.34,1.59
SBR+STEP BNR+mf&ro,0.019908,0.05833,0.01040066,0.03515625,1.00E-09,0.175,435,37.55,1.59
SBR+BARDENPH+None,0.045,0.1,0.0433,0.09375,1.00E-05,0.154,300,21.43,0.52
SBR+BARDENPH+Coagulation&Flocculation&RSF,0.01575,0.047,0.02072338,0.09375,2.00E-06,0.254,440,25.01,1.42
SBR+BARDENPH+uf&ro,0.0122445,0.03903,0.006495,0.065625,1.00E-09,0.204,480,39.34,1.59
SBR+BARDENPH+mf&ro,0.019908,0.05833,0.01040066,0.0703125,1.00E-09,0.234,450,37.55,1.59
SBR+WUHERMAN+None,0.001215,0.1,0.0002598,0.02775,1.00E-05,0.095,270,20.43,0.92
SBR+WUHERMAN+Coagulation&Flocculation&RSF,0.00042525,0.047,0.00012434,0.02775,2.00E-06,0.195,410,24.01,1.82
SBR+WUHERMAN+uf&ro,0.000330602,0.03903,3.90E-05,0.019425,1.00E-09,0.145,450,38.34,1.99
SBR+WUHERMAN+mf&ro,0.000537516,0.05833,6.24E-05,0.0208125,1.00E-09,0.175,420,36.55,1.99
A2O+None+None,0.0117,0.0894,0.0108,0.2309,0.0013,0.06,170,10.75,0.5
A2O+None+Coagulation&Flocculation&RSF,0.004095,0.042018,0.00516888,0.2309,0.00026,0.16,310,14.33,1.4
A2O+None+uf&ro,0.00318357,0.03489282,0.00162,0.16163,1.30E-07,0.11,350,28.66,1.57
A2O+None+mf&ro,0.00517608,0.05214702,0.00259416,0.173175,1.30E-07,0.14,320,26.87,1.57
A2O+MLE+None,0.0117,0.0894,0.0108,0.0565705,0.00013,0.1,290,16.75,1.1
A2O+MLE+Coagulation&Flocculation&RSF,0.004095,0.042018,0.00516888,0.0565705,2.60E-05,0.2,430,20.33,2
A2O+MLE+uf&ro,0.00318357,0.03489282,0.00162,0.03959935,1.30E-08,0.15,470,34.66,2.17
A2O+MLE+mf&ro,0.00517608,0.05214702,0.00259416,0.042427875,1.30E-08,0.18,440,32.87,2.17
A2O+STEP BNR+None,0.0117,0.0894,0.0108,0.04329375,0.00013,0.1,305,18.75,0.7
A2O+STEP BNR+Coagulation&Flocculation&RSF,0.004095,0.042018,0.00516888,0.04329375,2.60E-05,0.2,445,22.33,1.6
A2O+STEP BNR+uf&ro,0.00318357,0.03489282,0.00162,0.030305625,1.30E-08,0.15,485,36.66,1.77
